"id","nome","municipio","uf","responsabilidade","logradouro","termo_convenio","problema_detectado"
"24641","PAC 2 - CRECHE/PRÉ-ESCOLA  006","Abaetetuba","PA","Municipal","rua dr joão novaes","2840/2012","paralisada"
"1010661","PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  002 - Abaetetuba - PA","Abaetetuba","PA","Municipal","rua francisco azavedo monteiro","7722/2013","atrasada"
"2078","830387 - Escola de Educação Infantil - Abatiá/PR","Abatiá","PR","Municipal","rodovia pr 436 - prerimentro urbano - saida para ribeirão do pinhal","830387/2007","paralisada"
"17517","700173/11 - Espaço Educativo 6 salas - Abelardo Luz/SC","Abelardo Luz","SC","Municipal",NA,"700173/2011","sem endereço"
"27555","Escola Profissionalizante - Abreu e Lima - Abreu e Lima - PE","Abreu e Lima","PE","Estadual","rua do cajueiro","10281/2014","paralisada"
"12612","702488 - 01 Esc. Educ. Infantil - Tipo B - Proinfância - Construção - ABREULANDIA/TO","Abreulândia","TO","Municipal","avenida joão f. abreu","702488/2010","paralisada"
"1009898","Assentamento Vargem Dourada - Abreulândia - TO","Abreulândia","TO","Municipal","projeto de assentamento vargem dourada","19816/2014","paralisada"
"1009899","Assentamento Baronesa - Abreulândia - TO","Abreulândia","TO","Municipal","projeto de assentamento baronesa","19816/2014","paralisada"
"1005576","Creche Jardim Gloria","Açailândia","MA","Municipal","rua aulidia gonçalves santos","6772/2013","atrasada"
"24645","Creche cacoal","Acará","PA","Municipal","rua luis miranda s/nº","2842/2012","paralisada"
"1014585","PAC 2 - CRECHE/PRÉ-ESCOLA  001","Acaraú","CE","Municipal","rua s.d.o","9892/2014","atrasada"
"25507","PAC 2 - CRECHE/PRÉ-ESCOLA  001 VILA ESPERANÇA","Acopiara","CE","Municipal","rua sem denominação oficial","2599/2012","atrasada"
"1006041","Creche - Vila Moreiras","Acopiara","CE","Municipal","rua joão moreira barros","7198/2013","atrasada"
"1081176","EEM ACOPIARA - SÃO PAULINHO","Acopiara","CE","Estadual","rod. ce 371","7415/2015","paralisada"
"1005573","CRECHE SORRISO","Acrelândia","AC","Municipal","rua altierez conzendei ribeiro quadra 70","6767/2013","paralisada"
"29390","UNV DIOGO RAMOS","Adrianópolis","PR","Estadual","estrada municipal porto novo","9543/2015","paralisada"
"27549","Afonso Cláudio - Afonso Cláudio - ES","Afonso Cláudio","ES","Estadual","rodovia es-484","13791/2014","atrasada"
