"id","nome","municipio","uf","avaliacao_observatorios","responsabilidade","atrasada","nao_iniciada","execucao","sem_end","status_segundo_tbrasil","status_segundo_simec"
"25351","PAC 2 - CRECHE/PRÉ-ESCOLA 002","Araucária","PR","Execução","Municipal",0,1,0,0,"nao_iniciada","Licitação"
"25352","PAC 2 - CRECHE/PRÉ-ESCOLA 001","Araucária","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Licitação"
"25353","PAC 2 - CRECHE/PRÉ-ESCOLA 006","Araucária","PR","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Licitação"
"33214","PAC 2 - CRECHE/PRÉ-ESCOLA 005","Araucária","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Licitação"
"33215","PAC 2 - CRECHE/PRÉ-ESCOLA 004","Araucária","PR","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Licitação"
"1003823","PAC 2 - CRECHE/PRÉ-ESCOLA 003","Araucária","PR","Execução","Municipal",1,1,0,0,"Não iniciada e atrasada","Licitação"
"1012813","Jd. Dona Rosa","Araucária","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Licitação"
"1017726","CAPELA VELHA - Araucária - PR","Araucária","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"19887","Terreno Alto Bonito","Caçador","SC","Concluída","Municipal",1,0,0,0,"paralisada e atrasada","Inacabada"
"25121","Terreno Nossa Senhora Salete","Caçador","SC","Paralisada",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"1006363","Terreno Rancho Fundo","Caçador","SC","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1004300","CMEI Conj. Habit. Moradias Avelino Piacentini","Campo Mourão","PR","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1004301","CMEI Jardim Flora","Campo Mourão","PR","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1010390","AVELINO PIACENTINI - Campo Mourão - PR","Campo Mourão","PR","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1004230","SEDE ALVORADA - Cascavel - PR","Cascavel","PR","Paralisada","Municipal",0,0,1,0,"em andamento","Execução"
"1005696","OSCAR NIEMEYER","Cascavel","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1006985","MUNIQUE/TERRA NOVA","Cascavel","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1016714","Escola Zumbi dos Palmares - Cascavel - PR","Cascavel","PR","Execução",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"1006367","CEIM NEW VILLAS","Chapecó","SC","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1009202","JARDIM NITEROI/JD. SÃO ROQUE","Foz do Iguaçu","PR","Não iniciada","Municipal",0,0,1,0,"em andamento","Execução"
"1009203","Cidade Nova II / Vila Solidária","Foz do Iguaçu","PR","Não iniciada","Municipal",0,0,1,0,"em andamento","Execução"
"1009204","Eloi Lohmann","Foz do Iguaçu","PR","Não iniciada","Municipal",0,0,1,0,"em andamento","Execução"
"1009205","JARDIM CATARATAS - PAC 2 - CRECHE/PRÉ-ESCOLA 007","Foz do Iguaçu","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1011101","Campos Do Iguaçu CONJUNTO LIBRA","Foz do Iguaçu","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1012814","JARDIM ALMADA - PAC 2 - CRECHE/PRÉ-ESCOLA 006","Foz do Iguaçu","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1012815","CMEI GLEBA GUARANI","Foz do Iguaçu","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1012816","JD MONACO - Foz do Iguaçu - PR","Foz do Iguaçu","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1006081","Unidade Proinfancia Jardim das Américas","Goioerê","PR","Execução","Municipal",0,0,0,0,"paralisada","Licitação"
"1010867","Escola Integral Conjunto Águas Claras - Goioerê - PR","Goioerê","PR","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"13408","703277 - Esc. Educ. Infantil - Tipo B - Proinfância - Construção - GRAVATAÍ/RS","Gravataí","RS","Não iniciada","Municipal",0,1,0,1,"nao_iniciada","Planejamento pelo proponente"
"19651","EMEI Morada do Vale II","Gravataí","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"19874","EMEI Princesas","Gravataí","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Paralisada"
"24614","EMEI PORTO SEGURO","Gravataí","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"24615","EMEI MORADA DO VALE III","Gravataí","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Paralisada"
"24616","EMEI RINCÃO DA MADALENA","Gravataí","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Paralisada"
"24617","EMEI IBIZA","Gravataí","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Em Reformulação"
"24618","EMEI PARQUE DOS EUCALIPTOS","Gravataí","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1010678","E.M.E.I. COHAB C - Gravataí - RS","Gravataí","RS","Não iniciada","Municipal",0,0,1,0,"em andamento","Execução"
"1010679","E.M.E.I. RAIO DE SOL","Gravataí","RS","Execução","Municipal",1,0,0,0,"paralisada e atrasada","Paralisada"
"1010680","E.M.E.I. PARQUE FLORIDO - Gravataí - RS","Gravataí","RS","Não iniciada",NA,NA,NA,NA,NA,"não fez parte da amostra","Obra Cancelada"
"1010681","E.M.E.I. BEM ME QUER","Gravataí","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1010682","E.M.E.I. ALTAVILLE - Gravataí - RS","Gravataí","RS","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1011012","E.M.E.I. COSTA DO IPIRANGA","Gravataí","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1011013","E.M.E.I. FAVO DE MEL","Gravataí","RS","Execução","Municipal",1,0,0,0,"paralisada e atrasada","Paralisada"
"25284","PAC 2 - CRECHE/PRÉ-ESCOLA 009","Guarapuava","PR","Concluída",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25286","PAC 2 - CRECHE/PRÉ-ESCOLA 008","Guarapuava","PR","Concluída",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"1005588","Creche Vila Colibri","Guarapuava","PR","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"25130","PAC 2 - CRECHE/PRÉ-ESCOLA 001","Imbituba","SC","Paralisada","Municipal",1,0,0,0,"atrasada","Execução"
"1006532","CENTRO DE EDUCAÇÃO INFANTIL DO BAIRRO CAMPESTRE","Imbituba","SC","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"1001606","EMEI Conventos","Lajeado","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"1017501","EMEI BOM PASTOR - Lajeado - RS","Lajeado","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Licitação"
"24448","PAC 2 - CRECHE/PRÉ-ESCOLA 002","Limeira","SP","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"24449","PAC 2 - CRECHE/PRÉ-ESCOLA 004","Limeira","SP","Paralisada","Municipal",0,0,0,0,"paralisada","Licitação"
"24450","PAC 2 - CRECHE/PRÉ-ESCOLA 001","Limeira","SP","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Planejamento pelo proponente"
"24451","PAC 2 - CRECHE/PRÉ-ESCOLA 006","Limeira","SP","Não iniciada",NA,NA,NA,NA,NA,"não fez parte da amostra","Obra Cancelada"
"1014625","Creche Res. Alto dos Laranjais - Limeira - SP","Limeira","SP","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"17386","700068/11 - Escola de Educação Infantil - Palhoça/SC","Palhoça","SC","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Paralisada"
"25132","Creche Jardim Coqueiros","Palhoça","SC","Paralisada",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25133","Creche Alaor Silveira","Palhoça","SC","Paralisada",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25134","Creche Loteamento Mirian II","Palhoça","SC","Paralisada",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25135","Creche Caminho Novo","Palhoça","SC","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1006536","Área Institucional Loteamento Igaraty - Palhoça - SC","Palhoça","SC","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"19337","JARDIM IGUAÇU","Paranaguá","PR","Execução",NA,NA,NA,NA,NA,"não fez parte da amostra","Concluída"
"25356","LOCALIDADE CAIC","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25357","Labra","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25358","Jardim Esperança","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25359","Alexandra","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"25360","Porto dos Padres","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1005814","DIVINÉIA - Paranaguá - PR","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"1009214","Beira Rio","Paranaguá","PR","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
"18129","EMEI SANGA FUNDA","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"19600","LOTEAMENTO EUCALIPTO","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"20024","EMEI MONTE BONITO","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"20029","EMEI SÍTIO FLORESTA","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"20033","LOTEAMENTO DUNAS","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"20061","EMEI Z3","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"20179","VILA PRINCESA","Pelotas","RS","Execução","Municipal",0,0,1,0,"em andamento","Execução"
"24619","EMEI Getulio Vargas","Pelotas","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Em Reformulação"
"24620","EMEI Governaço","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Em Reformulação"
"24621","EMEI Navegantes","Pelotas","RS","Execução","Municipal",1,1,0,0,"Não iniciada e atrasada","Em Reformulação"
"24622","EMEI Farroupilha","Pelotas","RS","Não iniciada","Municipal",1,1,0,0,"Não iniciada e atrasada","Planejamento pelo proponente"
"24623","EMEI Loteamento Eldorado","Pelotas","RS","Paralisada","Municipal",1,0,0,0,"paralisada e atrasada","Em Reformulação"
"1009321","Vasco Pires - Pelotas - RS","Pelotas","RS","Não iniciada","Municipal",0,1,0,0,"nao_iniciada","Em Reformulação"
