"data";"valor"
"01/01/1992";"24,81"
"01/02/1992";"24,23"
"01/03/1992";"21,14"
"01/04/1992";"21,11"
"01/05/1992";"26,08"
"01/06/1992";"20,95"
"01/07/1992";"21,07"
"01/08/1992";"22,30"
"01/09/1992";"25,52"
"01/10/1992";"27,38"
"01/11/1992";"24,97"
"01/12/1992";"27,03"
"01/01/1993";"28,63"
"01/02/1993";"23,76"
"01/03/1993";"27,68"
"01/04/1993";"29,19"
"01/05/1993";"26,99"
"01/06/1993";"30,81"
"01/07/1993";"31,51"
"01/08/1993";"32,19"
"01/09/1993";"35,43"
"01/10/1993";"35,13"
"01/11/1993";"36,56"
"01/12/1993";"37,94"
"01/01/1994";"40,15"
"01/02/1994";"38,08"
"01/03/1994";"41,88"
"01/04/1994";"44,41"
"01/05/1994";"44,34"
"01/06/1994";"50,94"
"01/07/1994";"5,99"
"01/08/1994";"-0,23"
"01/09/1994";"0,16"
"01/10/1994";"2,71"
"01/11/1994";"2,85"
"01/12/1994";"1,42"
"01/01/1995";"0,48"
"01/02/1995";"-0,19"
"01/03/1995";"0,18"
"01/04/1995";"1,94"
"01/05/1995";"1,71"
"01/06/1995";"1,12"
"01/07/1995";"1,78"
"01/08/1995";"0,20"
"01/09/1995";"0,54"
"01/10/1995";"1,00"
"01/11/1995";"0,77"
"01/12/1995";"0,57"
"01/01/1996";"0,54"
"01/02/1996";"-0,66"
"01/03/1996";"-0,60"
"01/04/1996";"0,46"
"01/05/1996";"1,06"
"01/06/1996";"0,69"
"01/07/1996";"0,65"
"01/08/1996";"-0,14"
"01/09/1996";"-0,44"
"01/10/1996";"0,36"
"01/11/1996";"0,11"
"01/12/1996";"0,20"
"01/01/1997";"0,53"
"01/02/1997";"0,03"
"01/03/1997";"0,12"
"01/04/1997";"0,11"
"01/05/1997";"0,04"
"01/06/1997";"0,09"
"01/07/1997";"0,17"
"01/08/1997";"-0,36"
"01/09/1997";"0,13"
"01/10/1997";"0,31"
"01/11/1997";"0,01"
"01/12/1997";"0,31"
"01/01/1998";"0,59"
"01/02/1998";"0,21"
"01/03/1998";"0,29"
"01/04/1998";"0,11"
"01/05/1998";"0,35"
"01/06/1998";"0,28"
