"","uf","municipio","quantidade_obras_notificadas","valor_pago_obras_notificadas"
"1","AC","Acrelândia",1,206805
"2","AC","Bujari",2,1159099
"3","AC","Capixaba",1,837513
"4","AC","Cruzeiro do Sul",6,2732849
"5","AC","Plácido de Castro",2,1710260
"6","AC","Rio Branco",7,5574762
"7","AC","Santa Rosa do Purus",1,409054
"8","AC","Senador Guiomard",1,1081916
"9","AC","Tarauacá",8,5641002
"10","AL","Água Branca",1,1435821
"11","AL","Arapiraca",8,5433352
"12","AL","Atalaia",1,1262191
"13","AL","Barra de São Miguel",1,459136
"14","AL","Cajueiro",1,0
"15","AL","Campestre",1,515057
"16","AL","Chã Preta",1,276894
"17","AL","Coité do Nóia",1,552788
"18","AL","Colônia Leopoldina",2,1153067
"19","AL","Coruripe",1,644915
"20","AL","Delmiro Gouveia",3,1134666
"21","AL","Estrela de Alagoas",1,424334
"22","AL","Feira Grande",2,843433
"23","AL","Flexeiras",1,276210
"24","AL","Girau do Ponciano",1,419791
"25","AL","Inhapi",1,0
"26","AL","Jacuípe",1,0
"27","AL","Lagoa da Canoa",1,424587
"28","AL","Limoeiro de Anadia",1,549542
"29","AL","Maceió",11,5108795
"30","AL","Marechal Deodoro",6,1255499
"31","AL","Mata Grande",1,1348910
"32","AL","Matriz de Camaragibe",2,679825
"33","AL","Murici",2,598801
"34","AL","Novo Lino",1,396988
"35","AL","Olho d'Água das Flores",1,419535
"36","AL","Pão de Açúcar",2,865731
"37","AL","Pariconha",1,1914043
"38","AL","Paripueira",1,400205
"39","AL","Passo de Camaragibe",2,441318
"40","AL","Piaçabuçu",1,1011660
"41","AL","Piranhas",1,694410
"42","AL","Porto de Pedras",2,451404
"43","AL","Rio Largo",1,606367
"44","AL","São Luís do Quitunde",1,0
"45","AL","São Miguel dos Campos",1,430380
"46","AL","São Sebastião",1,1035379
"47","AL","Satuba",1,0
"48","AL","Tanque d'Arca",1,530602
"49","AL","Taquarana",1,0
"50","AL","União dos Palmares",3,676509
"51","AL","Viçosa",2,909644
"52","AM","Alvarães",1,898082
"53","AM","Apuí",1,297158
"54","AM","Autazes",11,6767998
"55","AM","Barcelos",2,949126
"56","AM","Barreirinha",2,939612
"57","AM","Beruri",2,1560868
"58","AM","Boa Vista do Ramos",3,171841
"59","AM","Boca do Acre",1,369781
"60","AM","Borba",4,3181280
"61","AM","Caapiranga",1,0
"62","AM","Carauari",3,1607713
"63","AM","Careiro",6,3577703
"64","AM","Careiro da Várzea",2,0
"65","AM","Coari",5,5107092
"66","AM","Codajás",1,963913
"67","AM","Eirunepé",2,1752522
"68","AM","Envira",1,918485
"69","AM","Fonte Boa",1,497387
"70","AM","Guajará",2,990849
"71","AM","Humaitá",1,0
"72","AM","Iranduba",2,1815672
"73","AM","Itacoatiara",5,1884548
"74","AM","Itapiranga",1,624894
"75","AM","Juruá",2,0
"76","AM","Jutaí",10,2132110
"77","AM","Lábrea",4,3259904
"78","AM","Manacapuru",7,7971109
"79","AM","Manaquiri",1,0
"80","AM","Manaus",55,21886220
"81","AM","Manicoré",2,0
"82","AM","Maraã",2,870999
"83","AM","Maués",1,922388
"84","AM","Nova Olinda do Norte",3,2776923
"85","AM","Novo Airão",2,1251952
"86","AM","Parintins",7,418061
"87","AM","Pauini",1,368648
"88","AM","Santo Antônio do Içá",4,1618707
"89","AM","São Gabriel da Cachoeira",45,2360108
"90","AM","Silves",1,0
"91","AM","Tabatinga",4,1284042
"92","AM","Tefé",4,2466768
"93","AM","Tonantins",3,36903
"94","AM","Uarini",1,1375059
"95","AM","Urucará",1,306491
"96","AM","Urucurituba",3,3327447
"97","AP","Amapá",1,0
"98","AP","Laranjal do Jari",8,14485998
"99","AP","Macapá",18,2081181
"100","AP","Oiapoque",3,295538
"101","AP","Porto Grande",2,537565
"102","AP","Santana",2,1095938
"103","AP","Vitória do Jari",2,190097
"104","BA","Abaíra",1,0
"105","BA","Alagoinhas",1,401492
"106","BA","Anagé",1,784597
"107","BA","Andorinha",3,2078650
"108","BA","Angical",1,132042
"109","BA","Apuarema",1,640156
"110","BA","Araci",3,2664022
"111","BA","Arataca",1,271377
"112","BA","Aratuípe",1,539853
"113","BA","Baixa Grande",1,0
"114","BA","Barra",1,981705
"115","BA","Barra do Choça",2,1952844
"116","BA","Barreiras",7,4522578
"117","BA","Barro Preto",1,424270
"118","BA","Brejões",2,460559
"119","BA","Brejolândia",1,393020
"120","BA","Brotas de Macaúbas",1,767532
"121","BA","Buerarema",1,1045650
"122","BA","Buritirama",1,984072
"123","BA","Caém",2,1936718
"124","BA","Caetanos",1,629485
"125","BA","Caetité",1,558545
"126","BA","Cafarnaum",3,2444199
"127","BA","Caldeirão Grande",1,0
"128","BA","Camacan",2,275160
"129","BA","Camaçari",6,0
"130","BA","Camamu",3,3549235
"131","BA","Canápolis",1,944457
"132","BA","Canavieiras",1,1856825
"133","BA","Candeias",2,401252
"134","BA","Cândido Sales",1,1794205
"135","BA","Capim Grosso",1,2108084
"136","BA","Caravelas",1,242699
"137","BA","Carinhanha",2,3895884
"138","BA","Casa Nova",5,4754262
"139","BA","Castro Alves",1,1154771
"140","BA","Catu",1,375469
"141","BA","Central",3,2366279
"142","BA","Chorrochó",3,927939
"143","BA","Cipó",1,0
"144","BA","Cocos",1,1595671
"145","BA","Conceição do Almeida",1,737246
"146","BA","Conceição do Jacuípe",1,163254
"147","BA","Conde",1,903103
"148","BA","Condeúba",2,1850995
"149","BA","Coronel João Sá",2,1292301
"150","BA","Correntina",1,1582854
"151","BA","Crisópolis",1,861050
"152","BA","Cristópolis",1,974846
"153","BA","Cruz das Almas",2,1045328
"154","BA","Dias d'Ávila",2,0
"155","BA","Dom Macedo Costa",1,0
"156","BA","Encruzilhada",1,0
"157","BA","Entre Rios",2,1777212
"158","BA","Eunápolis",5,5439541
"159","BA","Fátima",2,1489022
"160","BA","Feira de Santana",2,961604
"161","BA","Formosa do Rio Preto",1,979989
"162","BA","Gandu",1,748852
"163","BA","Gavião",1,826495
"164","BA","Glória",1,0
"165","BA","Gongogi",1,1261059
"166","BA","Governador Mangabeira",1,872574
"167","BA","Guajeru",1,989304
"168","BA","Guanambi",1,594448
"169","BA","Guaratinga",1,983469
"170","BA","Ibicoara",1,395676
"171","BA","Ibipeba",1,0
"172","BA","Ibitiara",1,1868733
"173","BA","Ibotirama",1,833895
"174","BA","Iguaí",2,985132
"175","BA","Ilhéus",6,2583759
"176","BA","Inhambupe",3,980737
"177","BA","Ipecaetá",2,735874
"178","BA","Ipirá",1,0
"179","BA","Itabela",1,876281
"180","BA","Itabuna",1,911765
"181","BA","Itacaré",1,499583
"182","BA","Itaeté",1,745870
"183","BA","Itagi",1,0
"184","BA","Itagimirim",2,520738
"185","BA","Itaguaçu da Bahia",1,0
"186","BA","Itaju do Colônia",3,1555036
"187","BA","Itajuípe",1,1256508
"188","BA","Itamaraju",2,1465140
"189","BA","Itamari",1,674227
"190","BA","Itambé",1,925823
"191","BA","Itanagra",1,404307
"192","BA","Itanhém",1,546004
"193","BA","Itaparica",1,1123682
"194","BA","Itapetinga",1,0
"195","BA","Itaquara",1,279380
"196","BA","Itarantim",1,0
"197","BA","Itatim",1,0
"198","BA","Itiúba",3,1225078
"199","BA","Itororó",1,677662
"200","BA","Iuiú",1,1612533
"201","BA","Jacaraci",1,0
"202","BA","Jaguaquara",1,763916
"203","BA","Jaguarari",1,758308
"204","BA","Jandaíra",1,0
"205","BA","Jequié",5,1229379
"206","BA","Jeremoabo",3,2522797
"207","BA","Jiquiriçá",1,836876
"208","BA","Jussara",1,1346810
"209","BA","Lapão",3,5132075
