"","nome","responsabilidade","municipio","uf","logradouro","termo_convenio","data_de_entrega","pagamento_total","valor_pacutado","problema_encontrado"
"1","700022 - Escola de Educação Inf - São João do Jaguaribe/CE","Municipal","São João do Jaguaribe","CE","rua daniel rodrigues","700022/2008","2014-11-25","0","1926437","paralisada / já devia ter sido entregue"
"2","830030 - Escola de Educação Infantil - Pirapemas/MA","Municipal","Pirapemas","MA","rua antônio ribeiro","830030/2007","2009-07-04","1123682","1644696","paralisada / já devia ter sido entregue"
"3","830103 -Escola de Educação Infantil - Formoso do Araguaia/TO","Municipal","Formoso do Araguaia","TO","rua rio formoso","830103/2007","2016-11-30","1495688","1937605","paralisada / já devia ter sido entregue"
"4","700017/08 - Escola de Educação Infantil - Rio Tinto/PB","Municipal","Rio Tinto","PB","Não informado","700017/2008","2019-04-26","1044898","1672149","em andamento / sem endereço"
"5","710025 - Escola de Educação Infantil - Liberdade/MG","Municipal","Liberdade","MG","avenida ministro barbosa lima","710025/2008",NA,"997184","1847049","não iniciada"
"6","710277 - Escola de Educação Infantil - Tipo B -Guaraciama/MG","Municipal","Guaraciama","MG","rua josé maria figueiredo","710277/2008","2015-12-31","1044898","1839035","paralisada / já devia ter sido entregue"
"7","710026 - Escola de Educação Infantil - Tipo B - Guaraíta/GO","Municipal","Guaraíta","GO","rua ovídio de moraes","710026/2008","2016-05-31","1443847","1688090","paralisada / já devia ter sido entregue"
"8","830257 - Escola de Educação Infantil - Resende/RJ","Municipal","Resende","RJ","avenida tocantins","830257/2007","2014-12-20","1460484","1627154","paralisada / já devia ter sido entregue"
"9","830062 - Escola de Educação Infantil - Santos Dumont/MG","Municipal","Santos Dumont","MG","rua josé carlos de paula","830062/2007","2016-02-27","1118314","1223245","paralisada / já devia ter sido entregue"
"10","710161 - Escola de Educação Infantil - Tipo B - Aracruz/ES","Municipal","Aracruz","ES","Não informado","710161/2008",NA,"1118314","1834158","paralisada / sem endereço"
"11","700098 - Escola de Educação Infantil - Anísio de Abreu/PI","Municipal","Anísio de Abreu","PI","pi 144","700098/2008","2018-04-01","1098411","1135032","em andamento / já devia ter sido entregue"
"12","700063 - Escola de Educação Infantil - Mauriti/CE","Municipal","Mauriti","CE","rua padre josé joaci cavalcante esquina com a rua josé adamir pinheiro","700063/2008","2015-07-31","1075985","1524997","paralisada / já devia ter sido entregue"
"13","710148 - Escola de Educação Infantil - Nova Russas/CE","Municipal","Nova Russas","CE","rua manuel peixoto","710148/2008","2014-08-05","1118314","1524997","paralisada / já devia ter sido entregue"
"14","830452 - Escola de Educação Infantil B - Palmácia/CE","Municipal","Palmácia","CE","rua joaquim de almeida sampaio","830452/2007",NA,"1118314","1669813","paralisada"
"15","830230 - Escola de Educação Infantil - B - Pau dos Ferros/RN","Municipal","Pau dos Ferros","RN","rn-177","830230/2007","2014-08-30","1452139","1638508","paralisada / já devia ter sido entregue"
"16","710002 - Escola de Educação Infantil - Coração de Jesus/MG","Municipal","Coração de Jesus","MG","rua josé luiz barbosa","710002/2008",NA,"1338192","2006438","paralisada"
"17","830431 - Escola de Educação Infantil - Tipo B - Sampaio/TO","Municipal","Sampaio","TO","rua manoel matos","830431/2007","2014-12-01","1479819","1952324","paralisada / já devia ter sido entregue"
"18","700075 - Escola de Educação Infantil - Wanderley/BA","Municipal","Wanderley","BA","Não informado","700075/2008","2016-08-10","983743","2034396","paralisada / já devia ter sido entregue / sem endereço"
"19","710010 - Escola de Educação Infantil - Águas Vermelhas/MG","Municipal","Águas Vermelhas","MG","Não informado","710010/2008",NA,"1659719","1839087","paralisada / sem endereço"
"20","830426 - Escola de Educação Infantil - Mata Verde/MG","Municipal","Mata Verde","MG","rua e","830426/2007","2016-06-05","1367935","2184955","paralisada / já devia ter sido entregue"
"21","700114 - Escola de Educação Infantil - Grajaú/MA","Municipal","Grajaú","MA","rua frei benjamim de borno","700114/2008","2014-06-20","1048342","1914424","paralisada / já devia ter sido entregue"
"22","710212 - Escola de Educação Infantil - Piracanjuba/GO","Municipal","Piracanjuba","GO","avenida pedro ludovico teixeira","710212/2008","2016-08-01","1070313","1900467","paralisada / já devia ter sido entregue"
"23","710091 - Escola de Educação Infantil - Rio Verde/GO","Municipal","Rio Verde","GO","Não informado","710091/2008","2018-08-31","1074159","1443369","em andamento / já devia ter sido entregue / sem endereço"
"24","830003 - Escola de Educação Infantil - Buritizeiro/MG","Municipal","Buritizeiro","MG","rua: joao marciano","830003/2007","2015-09-28","1605385","1954021","paralisada / já devia ter sido entregue"
"25","700050 - Escola de Educação Infantil - São Romão/MG","Municipal","São Romão","MG","rua diomedes valadares","700050/2008","2016-05-14","1842519","2139772","paralisada / já devia ter sido entregue"
"26","700018 - Escola de Educação Infantil - Tipo B - Riachão/PB","Municipal","Riachão","PB","Não informado","700018/2008",NA,"1048342","1672149","paralisada / sem endereço"
"27","710134 - Escola de Educação Infantil - São José do Norte/RS","Municipal","São José do Norte","RS","rua general osório","710134/2008","2014-02-28","997383","1601548","paralisada / já devia ter sido entregue"
"28","830437 - Escola de Educação Infantil - Matrinchã/GO","Municipal","Matrinchã","GO","rua jk com estrada córrego do vento","830437/2007","2015-06-30","1118314","1659794","paralisada / já devia ter sido entregue"
"29","710014 - Escola de Educação Infantil - Caçapava do Sul/RS","Municipal","Caçapava do Sul","RS","rua gertrudes vivian alves","710014/2008",NA,"1118314","1605063","paralisada"
"30","830069 - Escola de Educação Infantil - Murutinga do Sul/SP","Municipal","Murutinga do Sul","SP","Não informado","830069/2007","2016-12-31","1456300","1643517","paralisada / já devia ter sido entregue / sem endereço"
"31","830473 - Escola de Educação Infantil - Campinorte/GO","Municipal","Campinorte","GO","av. rui barbosa, c/ rua santos","830473/2007","2015-04-13","1475982","1749500","paralisada / já devia ter sido entregue"
"32","710240 -Escola de Educação Infantil - Itapirapuã Paulista/SP","Municipal","Itapirapuã Paulista","SP","rua roberto nunes de almeida","710240/2008","2016-06-30","1118314","1510041","paralisada / já devia ter sido entregue"
"33","710291 - Escola de Educação Infantil - Paranapanema/SP","Municipal","Paranapanema","SP","rua avaré","710291/2008",NA,"997184","1656899","não iniciada"
"34","710137 - Escola de Educação Infantil - Rosário do Sul/RS","Municipal","Rosário do Sul","RS","rua marechal floriano peixoto","710137/2008","2015-08-13","954383","1123682","paralisada / já devia ter sido entregue"
"35","700035 - Escola de Educação Infantil - Antônio João/MS","Municipal","Antônio João","MS","rua fernando saldanha esq. rua vicente soares","700035/2008","2014-12-30","1437590","1701091","paralisada / já devia ter sido entregue"
"36","710147 - Escola de Educação Infantil - Cromínia/GO","Municipal","Cromínia","GO","Não informado","710147/2008",NA,"1118314","1526133","paralisada / sem endereço"
"37","710172 - Escola de Educação Infantil - Glória dOeste/MT","Municipal","Glória D'Oeste","MT","rua vinte e quatro de junho","710172/2008","2017-06-30","1043957","2054126","paralisada / já devia ter sido entregue"
"38","710249 - Escola de Educação Infantil - Piúma/ES","Municipal","Piúma","ES","rua joão bayer","710249/2008","2012-05-26","1001472","1843407","não iniciada / já devia ter sido entregue"
"39","830270 - Escola de Educação Infantil - Ilicínea/MG","Municipal","Ilicínea","MG","rua querobino moscardini","830270/2007",NA,"1123682","1211012","paralisada"
"40","710145 - Escola de Educação Infantil - Muzambinho/MG","Municipal","Muzambinho","MG","avenida américo luz","710145/2008","2018-09-30","0","1927329","paralisada"
"41","830238 - Escola de Educação Infantil - Peruíbe/SP","Municipal","Peruíbe","SP","rua 17","830238/2007","2016-10-18","1420446","1767414","paralisada / já devia ter sido entregue"
"42","830045 - Escola de Educ. Infantil - Tipo B - Francisco Sá/MG","Municipal","Francisco Sá","MG","Não informado","830045/2007","2016-04-15","1475019","1643517","paralisada / já devia ter sido entregue / sem endereço"
"43","830387 - Escola de Educação Infantil - Abatiá/PR","Municipal","Abatiá","PR","rodovia pr 436 - prerimentro urbano - saida para ribeirão do pinhal","830387/2007","2015-12-12","1123682","1643517","paralisada / já devia ter sido entregue"
