"id","mes_ano","valor_do_pagamento","pagamento_cte_ago2018","nome","municipio","uf","responsabilidade","logradouro","ano_convenio","valor_pactuado_com_o_fnde","cancelada","concluida","paralisada","nao_iniciada","execucao","atrasada","sem_end","status","situacao_segundo_tbrasil","status_segundo_simec","ano_fim_vigencia_convenio","termo_convenio","data_prevista_de_conclusao_da_obra","data_final_prevista_e_estimada","ano_data_final_prevista_e_estimada","tipo_do_projeto","projeto_obra_transparente"
"4443","10/2011",1188000,1645414,"700302 - EE Infantil - Canaã II - Uberlândia/MG","Uberlândia","MG","Municipal","rua queila esquina com rua jericó","2008","620209.84",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","","700302/2008",2017-05-30,2017-05-30,"2017","Escola de Educação Infantil Tipo C",1
"7895","12/2011",2e+06,2740382,"710390 - E Educ Infantil C- Jd. Palmeiras II - Uberlândia/MG","Uberlândia","MG","Municipal","alameda otávio rodrigues de oliveira","2008","0",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo C",1
"8235","12/2011",2e+06,2740382,"710390 - E Educ Infantil Tipo C - Jd. Europa- Uberlândia/MG","Uberlândia","MG","Municipal","avenida josé fonseca e silva","2008","620700.9",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo C",1
"8236","12/2011",2e+06,2740382,"710390 - E Educ Infantil Tipo B - Mansour - Uberlândia/MG","Uberlândia","MG","Municipal","rua rio jequitinhonha","2008","0",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo B",1
"8237","12/2011",2e+06,2740382,"710390 - E Educ Infantil B - Jardim Botânico - Uberlândia/MG","Uberlândia","MG","Municipal","rua das raízes","2008","0",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo B",1
"8238","12/2011",2e+06,2740382,"710390 - E Educ Infantil Tipo C - Pacaembu - Uberlândia/MG","Uberlândia","MG","Municipal","rua da pitanga","2008","1332216.81",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo C",1
"8239","12/2011",2e+06,2740382,"710390 - E Educ Infantil C - Jd. Sucupira - Uberlândia/MG","Uberlândia","MG","Municipal","rua dos aracas","2008","0",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo C",1
"8240","12/2011",2e+06,2740382,"710390 - E Educ Infantil Tipo B - Planalto - Uberlândia/MG","Uberlândia","MG","Municipal","rua do feirante","2008","620700.9",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo B",1
"8241","12/2011",2e+06,2740382,"710390 - E Educ Infantil Tipo C - Morumbi - Uberlândia/MG","Uberlândia","MG","Municipal","rua do moinho","2008","0",0,0,0,1,0,0,0,"não iniciada","não iniciada","Planejamento pelo proponente","","710390/2008",NA,NA,NA,"Escola de Educação Infantil Tipo C",1
"8969","05/2010",646278.68,963839,"657111 - Esc. Educ. Infantil - Tipo B - SANTA MARIA/RS","Santa Maria","RS","Municipal","rua venâncio aires","2009","1305613.49",0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","","657111/2009",2018-06-07,2018-06-07,"2018","Escola de Educação Infantil Tipo B",1
