"id","nome","municipio","uf","responsabilidade","logradouro","ano_convenio","total_pago","cancelada","concluida","paralisada","nao_iniciada","execucao","atrasada","sem_end","status","situacao_segundo_tbrasil","status_segundo_simec","ano_fim_vigencia_convenio","termo_convenio","data_prevista_de_conclusao_da_obra","data_final_prevista_e_estimada","ano_data_final_prevista_e_estimada","tipo_do_projeto","projeto_obra_transparente"
"1365","830167 - Escola de Educação Infantil - Tipo B - Tauá/CE","Tauá","CE","Municipal","rua pedro inácio de sousa","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830167/2007",NA,2009-03-31,"2009","Escola de Educação Infantil Tipo B",0
"1366","830361 - Escola de Educação Infantil - Tipo B - Conchas/SP","Conchas","SP","Municipal","rua luiz sartori","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830361/2007",NA,2009-12-28,"2009","Escola de Educação Infantil Tipo B",0
"1367","830053 - Escola de Educação Infantil - Itararé/SP","Itararé","SP","Municipal","rua sofia dias menck","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830053/2007",2014-08-22,2014-08-22,"2014","Escola de Educação Infantil Tipo B",0
"1368","710101 - Escola de Educação Infantil - Reserva do Cabaçal/MT","Reserva do Cabaçal","MT","Municipal","rua princesa izabel","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710101/2008",2014-01-02,2014-01-02,"2014","Escola de Educação Infantil Tipo B",0
"1370","700022 - Escola de Educação Inf - São João do Jaguaribe/CE","São João do Jaguaribe","CE","Municipal","rua daniel rodrigues","2008",NA,0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","","700022/2008",2014-11-25,2014-11-25,"2014","Escola de Educação Infantil Tipo B",0
"1371","830057 - Escola de Educação Infantil - Senador Sá/CE","Senador Sá","CE","Municipal","rua nossa senhora do carmo","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830057/2007",2014-07-23,2014-07-23,"2014","Escola de Educação Infantil Tipo B",0
"1372","700064 - Escola de Educação Infantil - Tipo B - Tamboril/CE","Tamboril","CE","Municipal","rua coronel salustiano","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","700064/2008",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1373","830106 - Escola de Educação Infantil - Floriano/PI","Floriano","PI","Municipal","rua josé soares","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830106/2007",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1374","700012 - Escola Educação Inf - B Vila Nova - São Luis/MA","São Luís","MA","Municipal","rua nossa senhora das graças","2008",NA,1,0,0,0,0,0,0,"cancelada","obra cancelada","Obra Cancelada","","700012/2008",NA,2013-02-12,"2013","Escola de Educação Infantil Tipo B",0
"1375","700027/2008 - Escola de Educação Infantil - Itaituba/PA","Itaituba","PA","Municipal","rodovia transamazônica","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","700027/2008",2014-06-06,2014-06-06,"2014","Escola de Educação Infantil Tipo B",0
"1376","710223 - Escola de Educação Infantil - Tururu/CE","Tururu","CE","Municipal","rua principal","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710223/2008",NA,2009-03-23,"2009","Escola de Educação Infantil Tipo B",0
"1377","830054 - Escola de Educação Infantil - Uruburetama/CE","Uruburetama","CE","Municipal","rua francisco ferreira fonteneles","2007",NA,1,0,0,0,0,0,0,"cancelada","obra cancelada","Obra Cancelada","","830054/2007",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1378","830039 - Escola de Educação Infantil - Tipo B - Fortim/CE","Fortim","CE","Municipal","terminal rodoviário conceição chianca","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830039/2007",NA,2009-03-21,"2009","Escola de Educação Infantil Tipo B",0
"1379","830014 - Escola de Educação Infantil - Açu/RN","Açu","RN","Municipal","rua dr luiz antonio","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830014/2007",2014-09-14,2014-09-14,"2014","Escola de Educação Infantil Tipo B",0
"1382","830240 - Escola de Educação Infantil - Tianguá/CE","Tianguá","CE","Municipal","rua josé gomes diniz","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830240/2007",NA,2009-03-31,"2009","Escola de Educação Infantil Tipo B",0
"1383","830022 - Escola de Educação Infantil - Baraúna/RN","Baraúna","RN","Municipal","avenida jerônimo rosado","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830022/2007",NA,2009-03-17,"2009","Escola de Educação Infantil Tipo B",0
"1385","700076 - Escola de Educação Infantil - Humaitá/AM","Humaitá","AM","Municipal","rua padre josé de souza pena","2008",NA,1,0,0,0,0,0,0,"cancelada","obra cancelada","Obra Cancelada","","700076/2008",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1386","830030 - Escola de Educação Infantil - Pirapemas/MA","Pirapemas","MA","Municipal","rua antônio ribeiro","2007",NA,0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","","830030/2007",NA,2009-07-04,"2009","Escola de Educação Infantil Tipo B",0
"1387","830273 - Escola de Educação Infantil - Presidente Dutra/MA","Presidente Dutra","MA","Municipal","praça são sebastião","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830273/2007",2014-08-27,2014-08-27,"2014","Escola de Educação Infantil Tipo B",0
"1389","830391 Escola de Educação Infantil - Lajeado/TO","Lajeado","TO","Municipal","rua joão batalha","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830391/2007",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1391","830359 - Escola de Educação Infantil - Brotas/SP","Brotas","SP","Municipal","rua henrique osti","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830359/2007",NA,2011-02-01,"2011","Escola de Educação Infantil Tipo B",0
"1392","710131 - Escola de Educação Infantil - Tipo B - Buritizal/SP","Buritizal","SP","Municipal","rua paraná","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710131/2008",NA,2010-04-12,"2010","Escola de Educação Infantil Tipo B",0
"1393","830352 - Escola de Educação Infantil - Caconde/SP","Caconde","SP","Municipal","rua augusto martins de oliveira, esq. c/ rua heitor tardelli","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830352/2007",NA,2010-03-13,"2010","Escola de Educação Infantil Tipo B",0
"1395","830095 - Escola de Educação Infantil - Pentecoste/CE","Pentecoste","CE","Municipal","rua josé rodrigues machado","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830095/2007",NA,2009-03-23,"2009","Escola de Educação Infantil Tipo B",0
"1396","700130 - Escola de Educação Infantil - Goianésia do Pará/PA","Goianésia do Pará","PA","Municipal","Não informado","2008",NA,0,1,0,0,0,0,1,"concluida","obra concluída","Concluída","","700130/2008",2016-09-30,2016-09-30,"2016","Escola de Educação Infantil Tipo B",0
"1397","700074 - Escola de Educação Inf - Colônia do Gurguéia/PI","Colônia do Gurguéia","PI","Municipal","avenida juscelino kubitschek","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","700074/2008",2015-10-25,2015-10-25,"2015","Escola de Educação Infantil Tipo B",0
"1400","830143 - Escola de Educação Infantil - Porteirinha/MG","Porteirinha","MG","Municipal","rua berto miranda","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830143/2007",NA,2009-04-24,"2009","Escola de Educação Infantil Tipo B",0
"1401","830123 - Escola de Educação Infantil - Poté/MG","Poté","MG","Municipal","avenida sao tiago","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830123/2007",2015-03-14,2015-03-14,"2015","Escola de Educação Infantil Tipo B",0
"1402","830266 - Escola de Educação Infantil - Fortaleza/CE","Fortaleza","CE","Municipal","rua n","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830266/2007",NA,2011-07-08,"2011","Escola de Educação Infantil Tipo B",0
"1403","830166 - Escola de Educação Infantil - Itapipoca/CE","Itapipoca","CE","Municipal","rua coronel bento alves","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830166/2007",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1404","830186 - Escola de Educação Infantil - Guaiúba/CE","Guaiúba","CE","Municipal","rua antonio eumiro de sousa","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830186/2007",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1405","830044 - Escola de Educação Infantil - Recreio/MG","Recreio","MG","Municipal","rua julio martins","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830044/2007",2012-02-20,2012-02-20,"2012","Escola de Educação Infantil Tipo B",0
"1407","700078 - Escola de Educação Infantil - Encanto/RN","Encanto","RN","Municipal","rua sete de setembro","2008",NA,1,0,0,0,0,0,0,"cancelada","obra cancelada","Obra Cancelada","","700078/2008",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1408","710117 - Escola de Educação Infantil - Fernando Pedroza/RN","Fernando Pedroza","RN","Municipal","rua vereador joão salviano sobrinho","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710117/2008",NA,2009-06-02,"2009","Escola de Educação Infantil Tipo B",0
"1409","700031 - Escola de Educação Infantil - Jaguaribara/CE","Jaguaribara","CE","Municipal","rua zacarias silveira","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","700031/2008",2015-06-29,2015-06-29,"2015","Escola de Educação Infantil Tipo B",0
"1410","830162 - Escola de Educação Infantil - Alfenas/MG","Alfenas","MG","Municipal","av jovino fernandes salles","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830162/2007",NA,2009-05-15,"2009","Escola de Educação Infantil Tipo B",0
"1411","710285 - Escola de Educação Infantil - Alterosa/MG","Alterosa","MG","Municipal","rua seila alves de lima","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710285/2008",NA,2009-06-08,"2009","Escola de Educação Infantil Tipo B",0
"1412","710299 - Escola de Educação Infantil - Tipo B - Tanguá/RJ","Tanguá","RJ","Municipal","rua quinze de nove","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710299/2008",NA,2010-07-16,"2010","Escola de Educação Infantil Tipo B",0
"1413","710274 - Escola de Educação Infantil - Sacramento/MG","Sacramento","MG","Municipal","Não informado","2008",NA,0,1,0,0,0,0,1,"concluida","obra concluída","Concluída","","710274/2008",2015-11-26,2015-11-26,"2015","Escola de Educação Infantil Tipo B",0
"1414","830293 - Escola de Educação Inf - Santa Maria do Salto/MG","Santa Maria do Salto","MG","Municipal","rua felicidade costa","2007",NA,1,0,0,0,0,0,0,"cancelada","obra cancelada","Obra Cancelada","","830293/2007",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1416","710266 - Escola de Educação Infantil - Américo de Campos/SP","Américo de Campos","SP","Municipal","avenida paulo della coleta","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710266/2008",NA,2010-05-03,"2010","Escola de Educação Infantil Tipo B",0
"1417","700116 - Escola de Educação Infantil - Tipo B - Analândia/SP","Analândia","SP","Municipal","avenida um","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","700116/2008",2013-06-17,2013-06-17,"2013","Escola de Educação Infantil Tipo B",0
"1418","710232 - Escola de Educação Infantil - Anhumas/SP","Anhumas","SP","Municipal","rua domingos ferreira de medeiros","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710232/2008",NA,2010-10-05,"2010","Escola de Educação Infantil Tipo B",0
"1419","830004 - Escola de Educação Infantil - Tipo B - Pesqueira/PE","Pesqueira","PE","Municipal","loteamento luiz de oliveira neves","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830004/2007",2018-08-14,2018-08-14,"2018","Escola de Educação Infantil Tipo B",0
"1420","830163 - Escola de Educação Infantil - Araguari/MG","Araguari","MG","Municipal","rua das palmeiras","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830163/2007",2017-03-02,2017-03-02,"2017","Escola de Educação Infantil Tipo B",0
"1421","830295 - Escola de Educação Infantil - Arceburgo/MG","Arceburgo","MG","Municipal","rua coronel lucas magalhães","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830295/2007",NA,2009-05-24,"2009","Escola de Educação Infantil Tipo B",0
"1422","830289 - Escola de Educação Infantil - Argirita/MG","Argirita","MG","Municipal","rua josé augusto chaves","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830289/2007",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1423","830165 - Escola de Educação Infantil - Rio Pardo de Minas/MG","Rio Pardo de Minas","MG","Municipal","av. espinosa","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830165/2007",NA,2009-04-27,"2009","Escola de Educação Infantil Tipo B",0
"1424","830376 - Escola de Educação Infantil - Rio Pomba/MG","Rio Pomba","MG","Municipal","rua domingos inácio","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830376/2007",2013-11-30,2013-11-30,"2013","Escola de Educação Infantil Tipo B",0
"1425","710064 - Escola de Educação Infantil - Brejinho de Nazaré/TO","Brejinho de Nazaré","TO","Municipal","Não informado","2008",NA,0,1,0,0,0,0,1,"concluida","obra concluída","Concluída","","710064/2008",NA,2009-05-29,"2009","Escola de Educação Infantil Tipo B",0
"1426","830025 - Escola de Educação Infantil - Salgueiro/PE","Salgueiro","PE","Municipal","rua otávio leitinho","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830025/2007",NA,2010-06-05,"2010","Escola de Educação Infantil Tipo B",0
"1427","830015 Escola de Educação Inf - Santa Cruz do Capibaribe/PE","Santa Cruz do Capibaribe","PE","Municipal","rua major negrinho","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830015/2007",NA,2009-11-17,"2009","Escola de Educação Infantil Tipo B",0
"1428","700013 - Escola de Educação Infantil - Lagoa de Pedras/RN","Lagoa de Pedras","RN","Municipal","rua coronel francisco tomaz","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","700013/2008",2014-09-03,2014-09-03,"2014","Escola de Educação Infantil Tipo B",0
"1429","700045 - Escola de Educação Infantil - Tipo B- Luís Gomes/RN","Luís Gomes","RN","Municipal","rua doutor adolfo paulino","2008",NA,1,0,0,0,0,0,0,"cancelada","obra cancelada","Obra Cancelada","","700045/2008",NA,NA,NA,"Escola de Educação Infantil Tipo B",0
"1430","830096 - Escola de Educação Infantil - Macaíba/RN","Macaíba","RN","Municipal","rua projetada s/n","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830096/2007",2015-01-30,2015-01-30,"2015","Escola de Educação Infantil Tipo B",0
"1431","700034 Escola de Educação Infantil - Ouro Branco/AL","Ouro Branco","AL","Municipal","rua sebastião vieira da rocha","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","700034/2008",2015-07-31,2015-07-31,"2015","Escola de Educação Infantil Tipo B",0
"1432","830103 -Escola de Educação Infantil - Formoso do Araguaia/TO","Formoso do Araguaia","TO","Municipal","rua rio formoso","2007",NA,0,0,1,0,0,1,0,"paralisada","paralisada e já devia ter sido entregue","Inacabada","","830103/2007",2016-11-30,2016-11-30,"2016","Escola de Educação Infantil Tipo B",0
"1433","830097 - Escola de Educação Infantil - Guaraí/TO","Guaraí","TO","Municipal","rua da liberdade com av. paulista","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830097/2007",NA,2009-12-22,"2009","Escola de Educação Infantil Tipo B",0
"1434","710278 - Escola de Educação Infantil - Curralinhos/PI","Curralinhos","PI","Municipal","avenida boa esperança","2008",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","710278/2008",2014-06-03,2014-06-03,"2014","Escola de Educação Infantil Tipo B",0
"1435","830008 - Escola de Educação Infantil - Lucrécia/RN","Lucrécia","RN","Municipal","avenida luiz solano","2007",NA,0,1,0,0,0,0,0,"concluida","obra concluída","Concluída","","830008/2007",2015-11-03,2015-11-03,"2015","Escola de Educação Infantil Tipo B",0
