"","uf","quantidade_obras_notificadas","valor_pago_obras_notificadas"
"1","AC",27,19534788
"2","AL",3,0
"3","AM",19,262666559
"4","AP",10,35236116
"5","BA",44,340104693
"6","CE",57,1260540552
"7","DF",55,79334271
"8","ES",3,1794409
"9","GO",48,446861400
"10","MA",23,532570086
"11","MG",10,291825458
"12","MS",3,0
"13","MT",31,885183867
"14","PA",45,720487988
"15","PB",1,0
"16","PE",18,45834273
"17","PI",4,3654035
"18","PR",39,151723701
"19","RN",8,38616528
"20","RO",2,0
"21","RR",7,10148112
"22","RS",9,0
"23","SC",8,144469769
"24","SP",3,20783663
"25","TO",5,57884398
