"nome","municipio","uf","id2017","id2018"
"Construção de Escola de Ensino Fundamental  Campo - Morrinhos - CE","Morrinhos","CE",1015333,"1015332"
"Construção de Escola de Ensino Fundamental  Campo - Morrinhos - CE","Morrinhos","CE",1015333,"1015334"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Reserva","PR",25313,"1070810"
"702330 - Esc. Educ. Infantil   Tipo B  - Proinfância - Construção - BUIQUE/PE","Buíque","PE",11893,"1070856"
"ESCOLA MUNICIPAL PROFESSORA RITA DE CASSIA CAMPOS SILVA - Cachoeira de Minas - MG","Cachoeira de Minas","MG",1004676,"1070884"
"656667 - Esc. Educ. Infantil - Tipo B - MACAIBA /RN","Macaíba","RN",8582,"1071997"
"Malhador - Lagoa do Sítio - PI","Lagoa do Sítio","PI",1017980,"1072163"
"POV. QUINTO BRAÇO - Zé Doca - MA","Zé Doca","MA",1009748,"1072293"
"FREITAS","Jucurutu","RN",20272,"1073961"
"Rua do Sossego - Dom Pedro - MA","Dom Pedro","MA",1011854,"1074186"
"CRECHE VIVER BEM - Barra do Mendes - BA","Barra do Mendes","BA",1001572,"1074617"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Caravelas","BA",24301,"1074994"
"ESCOLA DOIS IRMÃOS - São João do Carú - MA","São João do Carú","MA",1002811,"1075434"
"ESCOLA VALDIMIRO - São João do Carú - MA","São João do Carú","MA",1002812,"1075435"
"PAC 2 - CRECHE/PRÉ-ESCOLA  002","Itaúna","MG",25558,"1075639"
"PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  002","Itaituba","PA",24723,"1076096"
"Escola Municipal Coronel João Cãndido - Almirante Tamandaré - PR","Almirante Tamandaré","PR",1010389,"1076255"
"Comunidade Morada Nova","Marabá","PA",20069,"1076290"
"Vila Capistrano de Abreu","Marabá","PA",19964,"1076420"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Coluna","MG",1009149,"1076424"
"700003/11 - E Educação Infantil - Governador Mangabeira/BA","Governador Mangabeira","BA",17420,"1076541"
" NOVA ESCOLA ELIZABETE NEGREIROS SOARES - Jurema - PI","Jurema","PI",1003068,"1078054"
"MOCAMBINHO - São José do Divino - PI","São José do Divino","PI",1002943,"1078703"
"SANCA - Muritiba - BA","Muritiba","BA",1002937,"1079151"
"Terreno Creche C - Caém - BA","Caém","BA",1006032,"1079319"
"PA COCALINHO DA MATA - Zé Doca - MA","Zé Doca","MA",1009745,"1079431"
"PA SÃO VICENTE II - Zé Doca - MA","Zé Doca","MA",1009743,"1079489"
"ESCOLA DE ENSINO FUNDAMENTAL - Barra do Jacaré - PR","Barra do Jacaré","PR",1017997,"1079599"
"Parte da área comunitária G - Silvanópolis - TO","Silvanópolis","TO",1011851,"1079643"
"POV RIO DO SANGUE - Zé Doca - MA","Zé Doca","MA",1009746,"1079930"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Senador La Rocque","MA",25780,"1080316"
"BELA VISTA","Jaguaquara","BA",25560,"1080815"
"Escola Loteamento Vila Nova - Não-Me-Toque - RS","Não-Me-Toque","RS",1016311,"1080927"
"701805 - Esc. Educ. Infantil   Tipo B  - Proinfância - Construção - ALVARO DE CARVALHO/SP","Álvaro de Carvalho","SP",11712,"1080929"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Andradas","MG",25222,"1081013"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Amarante","PI",1011106,"1081025"
"Imóvel Urbano - Tuneiras do Oeste - PR","Tuneiras do Oeste","PR",1010584,"1081042"
"Comunidade Irmãos Coragem - Mato Grosso - Parintins - AM","Parintins","AM",1010269,"1081043"
"CENTRO DE EDUCAÇÃO E RECREAÇÃO DOS JARDINS ","Américo Brasiliense","SP",1001609,"1081051"
"CRECHE MUNICIPAL","Andrelândia","MG",1004642,"1081060"
"UE OSVALDO CRUZ - Apicum-Açu - MA","Apicum-Açu","MA",1015227,"1081067"
"UI TIBURCIO PEREIRA - Apicum-Açu - MA","Apicum-Açu","MA",1015221,"1081069"
"UE NOSSA SENHORA DO ROSÁRIO - Apicum-Açu - MA","Apicum-Açu","MA",1015226,"1081077"
"Construção de Creche","Manoel Vitorino","BA",1005971,"1081102"
"CRECHE RECANTO VERDE","São Luís","MA",1001178,"1081121"
"CRECHE SÃO RAIMUNDO","São Luís","MA",1009085,"1081136"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Bonito","PA",1006593,"1081141"
"PAC 2 - CRECHE/PRÉ-ESCOLA  002","Colniza","MT",24369,"1081161"
"Fazenda dos Coqueirinhos - Juatuba - MG","Juatuba","MG",1010300,"1081174"
"2 - Escola Povoado Barro Vermelho - Aroazes - PI","Aroazes","PI",1002990,"1081175"
"Povoado Vera Cruz - Junco do Maranhão - MA","Junco do Maranhão","MA",1003084,"1081185"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001 - São Sepé - RS","São Sepé","RS",1001862,"1081186"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Maracanã","PA",28025,"1081213"
"Bairro Renascer - Junco do Maranhão - MA","Junco do Maranhão","MA",1017661,"1081227"
"Povoado Jutaitíua - Junco do Maranhão - MA","Junco do Maranhão","MA",1009428,"1081228"
"CRECHE E PRÉ-ESCOLA MUNICIPAL DE APORÁ - Aporá - BA","Aporá","BA",1006029,"1081229"
"Povoado Vila Paraense - Junco do Maranhão - MA","Junco do Maranhão","MA",1009427,"1081230"
"Escola Municipal Cercado","Paraúna","GO",29692,"1081231"
"PAC 2 - CRECHE/PRÉ-ESCOLA  008","Angra dos Reis","RJ",24492,"1081250"
"Creche Croatá II","Pacajus","CE",1006586,"1081253"
"PAC 2 - CRECHE/PRÉ-ESCOLA  001","Carolina","MA",25722,"1081266"
"PAC 2 CRECHE/PRE-ESCOLA 001","Manhuaçu","MG",1009229,"1081273"
"Escola Municipal Maria Alves Coutinho - Ibiracatu - MG","Ibiracatu","MG",1009758,"1081274"
"PAC 2 - CRECHE/PRÉ-ESCOLA MCMV  001","Pacajus","CE",1016558,"1081277"
"CROATÁ I","Pacajus","CE",1006585,"1081413"
"Bairro JK","Sete Lagoas","MG",1009243,"1081415"
"CRECHE BAIRRO DONA DORA","Sete Lagoas","MG",1011074,"1081417"
"CRECHE JARDIM DOS PEQUIS","Sete Lagoas","MG",1011075,"1081418"
"PAC 2 - CRECHE/PRÉ-ESCOLA  003","Sete Lagoas","MG",1012650,"1081419"
"700123/11 - Escola de Educação Infantil B - Caririaçu/CE","Caririaçu","CE",17464,"1081423"
"PAC 2 - CRECHE/PRÉ-ESCOLA  002 - Conceição do Araguaia - PA","Conceição do Araguaia","PA",1006280,"1081437"
"Socorro - Escola de 6 Salas","Tefé","AM",29685,"1081574"
"Escola Municipal Moreira Cabral","Paranatinga","MT",29547,"1081575"
